"mode","age","gender","income","hh_size","auto_avail","bike_avail","ttime.walk","ttime.bike","ttime.auto","ttime.transit","weight"
"auto",42,1,2324,4,1,1,153.42,54.25,15,35.47,1.11336092
"auto",41,0,4003,2,1,1,47.2,16.69,10,10.91,1.388990305
"auto",62,1,3334,2,1,0,94.41,33.38,45,21.83,0.95057434
"auto",50,0,2492,2,0.5,1,212.42,75.11,20,49.11,0.722359231
"auto",59,0,2031,2,1,1,35.4,12.52,10,8.19,0.640213302
"auto",53,0,1146,3,0.5,1,9.44,3.34,5,2.18,0.308482311
"auto",41,0,3704,3,1,1,295.03,104.32,40,68.21,0.724407596
"transit",58,0,5279,2,1,1,67.33,23.81,8.44,45,0.515559651
"auto",41,1,1419,6,1,0,365.84,129.36,40,84.59,1.719988136
"bike",55,1,3398,2,0.5,1,24.35,15,3.05,5.63,1.605650301
"bike",53,0,3176,2,0.5,1,54.78,20,6.86,12.67,1.471450143
"auto",53,0,2077,1,1,1,23.6,8.35,15,5.46,1.642376126
"auto",27,1,3673,3,0.67,0,17.76,6.28,10,4.11,1.076493232
"auto",34,1,1485,1,0,1,106.21,37.55,20,24.56,5.901009995
"auto",43,1,4728,4,1,1,354.04,125.18,30,81.86,1.003109824
"auto",23,0,3590,3,1,1,295.03,104.32,25,68.21,1.145491019
"transit",45,1,3650,3,0.5,1,280.25,99.09,35.11,30,0.438277655
"transit",40,1,4250,3,0.5,0,313.91,111,39.33,60,1.448715703
"auto",43,1,2578,3,1,1,283.23,100.15,25,65.49,0.982643583
"auto",59,0,2846,2,1,0,41.37,14.63,20,9.56,1.221313224
"auto",46,0,3554,4,0.33,1,47.2,16.69,15,10.91,0.118768513
"auto",57,1,1137,1,1,0,118.01,41.73,20,27.29,4.025958723
"auto",48,0,2607,5,0.6,1,59.01,20.86,30,13.64,0.490653108
"auto",19,1,2751,5,0.6,0,59.01,20.86,15,13.64,0.556733026
"bike",53,1,2931,5,0.6,0,60.87,30,7.63,14.07,0.382141543
"auto",57,1,2167,2,1,1,295.03,104.32,35,68.21,0.352529581
"bike",45,0,5015,4,0.75,1,12.17,5,1.53,2.81,1.432077147
"auto",47,1,5128,4,0.75,1,413.04,146.05,30,95.5,1.408571512
"auto",20,0,5362,4,0.75,1,59.01,20.86,10,13.64,2.415194349
"auto",64,0,957,2,0.5,1,76.77,27.14,20,17.75,1.640853308
"auto",37,1,2327,2,1,0,82.61,29.21,15,19.1,1.450660171
"auto",33,0,2073,2,1,0,59.01,20.86,15,13.64,1.755857412
"auto",34,1,2299,1,1,1,389.44,137.7,25,90.04,7.662806454
"auto",25,0,5279,3,1,0,495.65,175.26,40,114.6,2.612827653
"auto",58,1,5037,3,1,0,365.84,129.36,30,84.59,1.094976516
"auto",52,0,5583,3,1,0,118.01,41.73,10,27.29,1.249018219
"auto",60,0,1897,2,0.5,1,47.2,16.69,10,10.91,1.07460702
"auto",65,0,2562,2,1,1,10.68,3.78,5,2.47,1.232874328
"auto",51,1,2661,2,1,1,236.02,83.46,30,54.57,1.031753855
"auto",23,1,1945,1,1,0,53.17,18.8,6,12.29,3.02534466
"transit",53,0,3769,4,0.5,1,112.17,39.66,14.05,40,0.30066074
"transit",47,1,3918,4,0.5,1,347.58,122.9,43.55,50,0.454603143
"auto",45,1,3310,4,1,1,148.7,52.58,25,34.38,0.716596561
"auto",42,1,3233,3,1,1,118.01,41.73,20,27.29,1.34417613
"auto",40,1,3477,4,1,1,95.65,33.82,10,22.12,0.766688203
"transit",20,1,2591,4,0.33,0,168.2,59.47,21.07,23,1.113393696
"bike",47,1,2163,2,0.5,1,24.35,5,3.05,5.63,0.799723797
"bike",47,0,2147,2,0.5,1,24.35,10,3.05,5.63,0.770166909
"auto",36,1,3256,3,1,1,578.26,204.47,65,133.7,5.462874959
"auto",35,1,2855,2,0.5,1,271.43,95.97,35,62.76,1.643789584
"transit",29,0,2665,2,0.5,1,44.84,15.86,5.62,30,1.853186375
"auto",40,1,2110,4,1,1,153.42,54.25,50,35.47,0.579702213
"bike",50,1,5946,3,0.5,1,18.26,10,2.29,4.22,0.808149242
"bike",24,0,5618,3,0.5,1,6.09,15,0.76,1.41,1.352533898
"auto",54,1,3417,2,1,1,165.22,58.42,20,38.2,1.22433286
"auto",26,1,669,1,1,0,53.17,18.8,10,12.29,1.229921534
"auto",41,0,3964,4,1,1,23.6,8.35,15,5.46,0.678550338
"bike",40,1,3820,4,1,1,79.13,18,9.91,18.3,0.651497069
"auto",68,0,1617,1,1,1,283.23,100.15,45,65.49,0.961604351
"auto",21,0,1169,1,1,0,318.63,112.66,20,73.67,2.687429637
"auto",26,0,2427,2,0.5,0,247.83,87.63,25,57.3,2.616028954
"auto",60,0,1302,1,1,0,94.41,33.38,20,21.83,1.253174819
"auto",43,0,3198,3,0.67,1,295.03,104.32,25,68.21,0.765830985
"auto",34,1,3238,3,0.5,1,141.61,50.07,20,32.74,0.662441606
"auto",40,0,3583,4,0.5,1,35.4,12.52,15,8.19,0.192047893
"auto",46,0,3803,3,1,1,531.06,187.77,50,122.79,0.977053582
"auto",39,1,2239,6,0.5,1,153.42,54.25,25,35.47,1.079037721
"bike",42,1,2067,4,0.5,1,36.52,10,4.58,8.44,1.011556755
"transit",61,1,4728,2,1,1,1121.12,396.41,140.47,165,1.079975658
"auto",45,1,2412,4,0.5,1,118.01,41.73,15,27.29,0.487083632
"bike",49,0,2742,4,0.33,1,12.17,5,1.53,2.81,0.411895163
"auto",49,1,2846,4,0.33,1,236.02,83.46,30,54.57,0.427702567
"transit",58,1,3072,3,0.5,1,112.17,39.66,14.05,23,1.119983629
"auto",49,1,3811,4,0.67,1,70.81,25.04,13,16.37,0.394787003
"auto",24,1,1983,4,1,0,29.57,10.45,5,6.84,1.066968827
"auto",53,0,3518,4,1,1,141.61,50.07,30,32.74,0.296380076
"auto",56,1,3378,4,1,1,47.2,16.69,7,10.91,0.316788119
"auto",25,1,3505,4,1,1,826.09,292.09,60,191,0.670076228
"auto",21,1,3215,4,1,1,188.82,66.76,20,43.66,0.528707463
"auto",46,1,4348,4,1,1,118.01,41.73,20,27.29,0.305590354
"auto",41,0,4192,4,1,1,141.61,50.07,22,32.74,0.404567467
"auto",15,0,2225,6,0.75,0,94.41,33.38,15,21.83,0.298833006
"transit",56,0,3846,3,0,1,168.2,59.47,21.07,50,0.440297373
"transit",23,1,3786,3,0,1,100.87,35.67,12.64,30,1.122235905
"auto",43,1,5692,3,0.5,1,118.01,41.73,15,27.29,0.850427453
"auto",52,1,3010,4,0.5,1,271.43,95.97,30,62.76,0.494678411
"auto",51,0,4192,4,0.67,1,165.22,58.42,50,38.2,0.862389104
"transit",52,1,4453,4,0.67,0,112.17,39.66,14.05,25,0.848234138
"auto",52,1,2695,2,0.5,1,166.46,58.86,23,38.49,0.426764026
"auto",37,1,2531,2,1,1,295.03,104.32,30,68.21,2.731594576
"auto",57,0,1960,2,1,1,271.43,95.97,37,62.76,1.190409368
"auto",52,1,2603,5,0.4,1,129.81,45.9,30,30.01,0.380831928
"auto",43,0,2018,4,1,1,17.76,6.28,10,4.11,0.658992187
"walk",44,1,2163,4,1,1,25,6.46,2.29,4.22,0.632718686
"bike",37,0,2883,4,1,1,12.17,10,1.53,2.81,0.967175246
"auto",60,1,2578,2,0.5,1,70.81,25.04,10,16.37,0.722583238
"auto",58,0,2449,2,0.5,0,70.81,25.04,10,16.37,1.092035754
"auto",44,0,3398,2,1,1,177.02,62.59,20,40.93,1.21617768
"walk",45,0,2113,4,1,1,3,0.88,0.31,0.57,0.775455624
"auto",22,0,2527,4,1,0,35.4,12.52,5,8.19,1.152175182
"auto",31,0,2813,2,0.5,1,295.03,104.32,35,68.21,2.469477494
"transit",37,1,2960,2,0.5,1,280.25,99.09,35.11,40,1.908850769
