"","hh_size","n_children","region_type","hh_autos","n_emp","dist_to_transit","hh_income","trip_length_km","weight"
"5165",3,0,"metropolitan",2,2,0.05,5900,2.85,2.101339832
"5166",3,0,"metropolitan",2,2,0.05,5900,0.76,0.927554883
"5167",3,0,"metropolitan",2,2,0.05,5900,0.76,0.927554883
"5168",2,0,"urban",2,2,0.15,4711,6.65,0.732726483
"5169",1,0,"urban",1,1,3.5,967,23.75,5.137156747
"5170",2,1,"metropolitan",1,1,0.05,1829,11.4,2.694875994
"5171",3,1,"urban",3,2,0.05,5105,9.5,1.52042066
"5172",3,1,"urban",3,2,0.05,5105,9.5,1.52042066
"5173",3,1,"urban",3,2,0.05,5105,9.5,1.20792845
"5174",3,1,"urban",3,2,0.05,5105,9.5,1.20792845
"5175",2,0,"urban",2,1,0.3,2813,19,2.051939507
"5176",1,0,"urban",2,1,1.5,2841,2.85,2.688419698
"5177",1,0,"urban",2,1,1.5,2841,2.85,2.688419698
"5178",1,0,"metropolitan",1,1,0.7,1156,14.25,6.217670158
"5179",2,0,"urban",1,1,0.3,2103,14.25,0.781364831
"5180",2,0,"metropolitan",1,2,0.05,2239,22.56,0.832250875
"5181",3,0,"urban",3,3,0.7,2707,33.25,0.761232747
"5182",3,1,"rural",1,2,0.15,2786,8.55,1.87478643
"5183",1,0,"metropolitan",1,1,0.15,2025,19.57,2.911902955
"5184",2,0,"urban",0,2,0.05,3657,3.61,0.502063035
"5185",5,3,"urban",2,2,0.7,4973,45.6,0.98088915
"5186",2,0,"metropolitan",1,1,0.7,3828,3.92,1.035983795
"5187",3,0,"urban",2,2,0.7,536,2.26,0.553685845
"5188",3,0,"urban",2,2,0.7,536,0.2,1.282065039
"5189",3,1,"urban",1,1,0.3,2558,41.8,1.402797903
"5190",2,0,"metropolitan",2,1,0.7,2760,22.8,1.247368885
"5191",2,0,"metropolitan",1,2,0.7,3761,9.5,0.684609054
"5192",2,0,"metropolitan",1,2,0.7,3761,9.5,0.659306677
"5193",4,0,"metropolitan",3,3,0.7,3786,1.9,0.411521419
"5194",4,0,"metropolitan",3,3,0.7,3786,5.7,0.392787094
"5195",4,0,"metropolitan",3,3,0.7,3786,15.2,0.753762812
"5196",1,0,"metropolitan",1,1,0.3,2492,4.75,2.130421367
"5197",4,1,"metropolitan",2,2,0.15,4614,4.75,1.079782958
"5198",4,1,"rural",4,3,0.7,3404,16.15,1.039164631
"5199",3,0,"metropolitan",2,2,0.3,4799,11.4,0.940770651
